Project: Dynamics 365 Convergence    Server: dev.azure.com/ecolaboip    Query: 1C-Project-Plan-All-001    List type: Tree    ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Work Item Type,Effort,Target Date,Title 1,Title 2,Title 3,Title 4,Title 5,Title 6,Description,Assigned To,State,Tags,Area Path,Created By,Iteration Path,Priority,Reason,Value Area,Comment Count,Acceptance Criteria,Story Points,Activity,Finish Date,Original Estimate,Remaining Work,Completed Work
849431,Epic,,,1C FBU -  Release 2,,,,,,"The 1C FBU USA Release EPIC encompasses all foundational capabilities required to support the launch of the One Customer model for Food & Beverage (F&B) United USA accounts, as part of the global customer unification program. (This EPIC leverages Release 1 efforts which were focused on Canada.)This release focuses TBD aligning commercial activities to a single experience.  This release focuses on enabling a centralized Base Customer Account (BCA) structure with aligned sales skill records (e.g., Water and Hygiene), standardizing CRM processes, and ensuring system readiness across CRM, CDM, EBS, PowerApps, and reporting platforms. 
  

  
Key objectives include:   

 *  Identify the impact OneCustomer Release 1 will have on USA accounts. Release 1:  

 *  Establishing a dedicated Base Customer Account entity in CRM (Option 1 model)  
 *  Aligning Water and Hygiene sales skill records under BCA with proper security, filtering, and metadata visibility 
 *  Updating integrations between CRM, CDM, and Ecolab 3D to support new customer hierarchy and merged site logic 
 *  Enabling clean site/asset lineage and downstream compatibility with PowerApps and Power BI 
 *  Harmonizing business processes such as opportunity management, RTW, GTW, and contact handling across sales skills
 
 

 

 *  Review and validate as-is record structure and process flow for:   
 

 *  Tanks 
 *  EQR (Engineering Quote Request) 
 *  Ecolab3D– Service Summary Dashboard Integrations 
 *  Documents stored in CRM related to OneCustomer impacted records 
 *  Leads & TVD 
 *  Services 
 *  Power Apps? 
 

 

 *  Supporting critical regression testing for existing functionality affected by the structural changes 
 

This EPIC represents all business and technical requirements identified during the 10-day discovery workshops and stakeholder alignment sessions held August 18, 2025 - August 29, 2025. 
 
","Yellapantula, Siva",New,CRM; Data; Integration,\FBU 1C,"Bargabus, Carol",\One Dynamics,2,New,Business,2,,,,,,,
853529,Feature,,,,Integration: Prospect to Customer Setup Process Enablement via CLM (R2),,,,,"This feature will enable CRM to integrate directly with CLM APIs for the prospect-to-customer setup process as part of the One Customer Initiative. Today, during R1, Sales Ops would use their judgement to prevent duplicates in CRM and enter data into MDM via CLM UI manually. After the Sales Representative indicates that the prospect is ready to be converted to customer via the Dynamics CRM UI, Sales Operations (ops Admin) these as customer in CLM UI manually  which in turn triggers a transaction to MDM to start the customer setup process.
 

 
In R2, the process will shift to automation:
 

 *  Prospects created in CRM will automatically be validated, deduplicated, and processed via CLM (MDM) APIs. 
 *  Upon conversion, the Base Customer Account (BCA) and linked sales skill accounts will be updated seamlessly in CRM. 
 *  Duplicate checks will evolve to support the new sales skill model, ensuring no duplicate creation and enabling “add sales skill” scenarios. 
 *  CRM users will benefit from fewer manual steps, reduced risk of errors, and stronger alignment with MDM/EBS master data. 
 

 
Key Changes Introduced 

 *  Automate prospect creation flow between CRM ? CLM ? MDM. 
 *  Automate prospect-to-customer conversion by consuming CLM APIs directly. 
 *  Enhance duplicate check logic to align with sales skill model (multiple sales skills per site/address). 
 *  Support a new “add sales skill” integration path to append sales skills to existing customers. 
 *  Maintain CRM/MDM/EBS alignment using the Base Customer Account as the anchor identifier. 
 *  Provide clear ID and status synchronization across all systems (CRM, CLM, MDM, and EBS). 
 

 
High-Level Business Requirements 

 *  Automated Prospect Processing 

 *  When a prospect is created in CRM, the record must be automatically sent to MDM through CLM APIs for validation, duplicate check, and ID assignment. 
 

 *  Seamless Conversion to Customer 

 *  Upon prospect approval and conversion in CLM, the BCA and sales skill accounts in CRM must be automatically updated with the new ERP/MDM identifiers and ERP status set to Customer. 
 

 *  Duplicate Detection & Sales Skill Handling 

 *  If a duplicate is found, CRM must receive feedback from CLM to either: 

 *  Block creation of a new prospect, or 
 *  Create a new sales skill under an existing customer BCA. 
 

 

 *  Add Sales Skill Support 

 *  Provide integration path for CRM ? CLM ? MDM when a rep or Sales Ops adds a new sales skill to an existing customer account. 
 

 *  ID & Status Synchronization 

 *  CRM must maintain consistent BCAID, Sales Skill IDs, and ERP system identifiers across MDM/EBS/CLM. 
 *  ERP status transitions (prospect ? customer) must flow automatically into CRM. 
 

 *  User Experience Improvements 

 *  Eliminate manual form submissions (Ops Admin, emails). 
 *  Ensure CRM users see accurate prospect/customer statuses without requiring back-and-forth with Sales Ops. 
 

 *  Future-Proofing 

 *  Follow the CLM API roadmap to ensure a single-pass, simplified process in later releases. 
 *  Build flexibility for additional validations (address normalization, fuzzy match, etc.) to be applied via MDM. 
 

 

 

","Blaszyk, David",New,FBU R2 Release; Integration; Inventory; Refine,\FBU 1C\Data,"Yellapantula, Siva",\One Dynamics,2,New,Business,2,,,,,,,
846674,User Story,,,,,R2 Scope: Validate Prospect Addresses in Real Time Using CLM Services,,,,"Prospect addresses should be validated instantly against CLM/MDM during account creation, ensuring accuracy before records are saved.
 
","Yellapantula, Siva",Removed,Not In R1,\FBU 1C,"Yellapantula, Siva",\One Dynamics\Sprint 25.17.02,2,Removed from the backlog,Business,0,,,,,,,
846671,User Story,,,,,R2 Scope: Leverage CLM Services for Duplicate Prospect Detection Across Sales Skills,,,,"Enhance duplicate checking by integrating with CLM services, ensuring enterprise-wide detection instead of relying solely on CRM rules.
 
","Yellapantula, Siva",Removed,Not In R1,\FBU 1C,"Yellapantula, Siva",\One Dynamics\Sprint 25.17.02,2,Removed from the backlog,Business,0,,,,,,,
846672,User Story,,,,,R2 Scope: Automatically Trigger CLM Setup from CRM (Replace Manual Notify Process),,,,"The “Notify” button should directly initiate setup in CLM through APIs, removing the need for manual emails or follow-up by Ops/Admin teams.
 
","Yellapantula, Siva",Removed,Not In R1,\FBU 1C,"Yellapantula, Siva",\One Dynamics\Sprint 25.17.02,2,Removed from the backlog,Business,0,,,,,,,
853534,Requirement,,,,,Consume CLM API Responses to Handle Duplicates and Add Sales Skills,,,,"Business Objective:
Enable CRM to intelligently respond to CLM/MDM validation outcomes during prospect creation. When a duplicate is detected, CRM must either block the creation of a new record or seamlessly trigger the addition of a new sales skill to the existing customer/prospect. This ensures data integrity, prevents duplicate accounts, and supports multi–sales skill structures in line with the One Customer model. 

 
Business Requirements: 

 *  During prospect creation in CRM: 

 *  Duplicate Check via CLM API: 

 *  CRM sends prospect data (name, address, district, sales skill). 
 

 *  CLM/MDM responds with one of three outcomes: 

 *  No match found ? Prospect creation proceeds as new Prospect BCA + Sales Skill Account. 
 *  Duplicate prospect found ? CRM blocks new creation, and user must use existing prospect record. 
 *  Existing customer found ? CRM must allow rep/ops to add a new sales skill to the existing BCA. 
 

 

 *  Blocking Rules: 

 *  Duplicate creation attempts must be stopped before a new P-number or BCA is assigned. 
 *  A clear message should guide the rep to the existing record. 
 

 *  Add Sales Skill Flow: 

 *  If CLM response indicates “existing customer,” CRM should trigger the “Add Sales Skill” process: 
 *  Create a new Sales Skill Account under the existing BCA. 
 *  Ensure correct linkage between BCA, Sales Skill Account, and ERP identifiers. 
 *  Status initially set to Pending Review until approved by Sales Ops (R2 automation). 
 

 *  Business Ownership: 

 *  Sales Ops retains authority to review final duplicate resolution in CRM. 
 *  Reps are prevented from bypassing the duplicate check by manually creating accounts. 
 

 

 
Technical Considerations: 

 *  CRM must consume and parse CLM API response codes for duplicates and matches. 
 *  Ensure synchronous handling so that users get immediate feedback on duplicate attempts. 
 *  Error scenarios: 

 *  If API fails or times out, fallback rule = prospect saved in Pending Review, flagged for Sales Ops review. 
 

 *  Mapping required between CLM-provided IDs and CRM IDs for record linking. 
 *  Ensure that “Add Sales Skill” triggered from CLM response is logged with traceability (audit trail). 
 *  Need to align with existing “Add Sales Skill” button logic to avoid duplicative implementations. 
 

 
Expected Deliverables: 

 *  CRM integrated with CLM duplicate-check API during prospect creation. 
 *  Automated handling of three outcomes: new prospect, duplicate block, or add sales skill. 
 *  Prevent duplicate account proliferation by enforcing CLM response logic. 
 *  Ability to expand existing customers with additional sales skills without creating duplicate accounts. 
 *  Documentation of response handling, error fallback, and process ownership. 
 *  Test scenarios covering: 
 *  No match (new prospect creation). 
 *  Duplicate prospect (blocked). 
 *  Existing customer (add sales skill). 
 

 

","Yellapantula, Siva",New,Integration; Inventory,\FBU 1C,"Yellapantula, Siva",\One Dynamics,,Moved to state New,,0,,,,,,,
863453,User Story,,,,,,Prospect Creation with No Match Found,,,"As a sales rep
I want CRM to allow me to create a new prospect when CLM/MDM returns no match
So that I can proceed with assigning a new BCA and Sales Skill Account
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,1,"  Scenario: CLM/MDM returns no match 
    Given the sales rep enters prospect data including name, address, district, and sales skill 
    When CRM sends the data to CLM/MDM for duplicate check 
    And CLM/MDM returns ""No Match Found"" 
    Then CRM should allow creation of a new Prospect BCA 
    And CRM should create a new Sales Skill Account linked to the new BCA 

 
",,,,,,
881646,User Story,,,,,,Placeholder 3,,,,"Yellapantula, Siva",Removed,,\,"Yellapantula, Siva",\One Dynamics,2,Removed from the backlog,Business,0,,8,,,,,
863455,User Story,,,,,,Existing Customer Found – Add Sales Skill,,,"As a sales rep
I want CRM to allow adding a new sales skill to an existing customer
So that I can support multi-sales skill structures under the One Customer model
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,0,"  Scenario: CLM/MDM returns existing customer 
    Given the sales rep enters prospect data 
    When CRM sends the data to CLM/MDM 
    And CLM/MDM returns ""Existing Customer Found"" 
    Then CRM should trigger the Add Sales Skill process 
    And CRM should create a new Sales Skill Account under the existing BCA 
    And the new Sales Skill Account should be linked correctly to the BCA and ERP identifiers 
    And the status of the new Sales Skill Account should be set to ""Pending Review"" 

 
",,,,,,
863454,User Story,,,,,,Duplicate Prospect Found,,,"As a sales rep
I want CRM to block creation of a new prospect when a duplicate prospect is found
So that I can maintain data integrity and avoid duplicate accounts
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,0,"  Scenario: CLM/MDM returns duplicate prospect 
    Given the sales rep enters prospect data 
    When CRM sends the data to CLM/MDM 
    And CLM/MDM returns ""Duplicate Prospect Found"" 
    Then CRM should block the creation of a new record 
    And CRM should display a message guiding the rep to use the existing prospect recor 

 
",,,,,,
